"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL87503";"";"None";"406.53";"0";"3.74";"19";"C=C(C)N1C(=O)N(C(=C)C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1";"Ki";"'='";"1.8";"nM";"8.74";"";"";"UO_0000065";"21.51";"0.40";"5.00";"13.66";"0";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"1.8"
"CHEMBL420042";"";"None";"550.83";"2";"7.10";"15";"CC(C)CCCCCN1C(=O)N(CCCCCC(C)C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1";"Ki";"'='";"110.0";"nM";"6.96";"";"";"UO_0000065";"12.63";"0.24";"-0.14";"10.87";"1";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"110.0"
"CHEMBL87690";"";"None";"470.61";"0";"2.74";"9";"CCOCCN1C(=O)N(CCOCC)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1";"Ki";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"12.66";"0.24";"3.22";"7.23";"1";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"1100.0"
"CHEMBL408834";"";"None";"802.98";"2";"7.60";"88";"Cc1cc(C)nc(NC(=O)c2cccc(CN3C(=O)N(Cc4cccc(C(=O)Nc5cc(C)cc(C)n5)c4)[C@H](Cc4ccccc4)[C@H](O)[C@@H](O)[C@H]3Cc3ccccc3)c2)c1";"Ki";"'='";"0.016";"nM";"10.80";"";"";"UO_0000065";"13.44";"0.25";"3.20";"7.30";"1";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"0.016"
"CHEMBL420054";"";"None";"466.67";"1";"5.05";"5";"CCCCCN1C(=O)N(CCCCC)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1";"Ki";"'='";"1.6";"nM";"8.80";"";"";"UO_0000065";"18.85";"0.35";"3.75";"13.74";"1";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"1.6"
"CHEMBL284314";"";"None";"406.53";"0";"3.04";"17";"C=CCN1C(=O)N(CC=C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1";"Ki";"'='";"5.2";"nM";"8.28";"";"";"UO_0000065";"20.38";"0.38";"5.24";"12.94";"1";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"5.2"
"CHEMBL329184";"";"None";"382.50";"0";"2.71";"2";"CCN1C(=O)N(CC)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1";"Ki";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"18.30";"0.34";"4.29";"10.94";"1";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"100.0"
"CHEMBL87491";"";"None";"772.95";"2";"6.93";"80";"O=C(NCc1ccccc1)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)NCc4ccccc4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1";"Ki";"'='";"0.43";"nM";"9.37";"";"";"UO_0000065";"12.12";"0.22";"2.44";"7.66";"0";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"0.43"
"CHEMBL85915";"";"None";"522.69";"2";"5.82";"56";"CCCCN1C(=O)N(Cc2ccc3ccccc3c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1";"Ki";"'='";"0.6";"nM";"9.22";"";"";"UO_0000065";"17.64";"0.32";"3.40";"14.41";"1";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"0.6"
"CHEMBL314058";"";"None";"776.90";"2";"5.77";"92";"Cc1ccnc(NC(=O)c2cccc(CN3C(=O)N(Cc4cccc(C(=O)Nc5nccc(C)n5)c4)[C@H](Cc4ccccc4)[C@H](O)[C@@H](O)[C@H]3Cc3ccccc3)c2)n1";"Ki";"'='";"0.115";"nM";"9.94";"";"";"UO_0000065";"12.79";"0.23";"4.17";"5.72";"1";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"0.115"
"CHEMBL313348";"";"None";"616.72";"1";"4.63";"117";"Nc1cccc(N2C(=O)N(Cc3cccc(C(=O)Nc4ncc[nH]4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1";"Ki";"'='";"0.012";"nM";"10.92";"";"";"UO_0000065";"17.71";"0.32";"6.29";"7.39";"0";"CHEMBL763303";"Inhibition of HIV-1 protease";"B";"BAO_0000357";"single protein format";"Human immunodeficiency virus 1";"None";"None";"None";"None";"";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"Human immunodeficiency virus 1";"SINGLE PROTEIN";"CHEMBL1132660";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"0.012"
